imestamp,Gateway [0],Gateway [0],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [288],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [289],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [290],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],Solar Charger [291],System overview [0],System overview [0],System overview [0],System overview [0],System overview [0],System overview [0],System overview [0],System overview [0],System overview [0],System overview [0],System overview [0],System overview [0]
Europe/Budapest (+01:00),VRM Log time offset,ESS Scheduled Charging,Voltage,Current,Battery watts,Load state,Load current,Charger on/off,Charge state,PV voltage,PV current,PV power,MPPT State,Yield today,Maximum charge power today,Yield yesterday,Maximum charge power yesterday,Error code,User yield,Voltage,Current,Battery watts,Load state,Load current,Charger on/off,Charge state,PV voltage,PV current,PV power,MPPT State,Yield today,Maximum charge power today,Yield yesterday,Maximum charge power yesterday,Error code,User yield,Voltage,Current,Battery watts,Load state,Load current,Charger on/off,Charge state,PV voltage,PV current,PV power,MPPT State,Yield today,Maximum charge power today,Yield yesterday,Maximum charge power yesterday,Error code,User yield,Voltage,Current,Battery watts,Load state,Load current,Charger on/off,Charge state,PV voltage,PV current,PV power,MPPT State,Yield today,Maximum charge power today,Yield yesterday,Maximum charge power yesterday,Error code,User yield,PV - DC-coupled,DC System,Voltage,DVCC Multiple batteries alarm,GX Error #48 DVCC with incompatible firmware,#1 Low SOC; discharge disabled,#2 BatteryLife is active,#3 Charge disabled by BMS,#4 Discharge disabled by BMS,#5 Slow charge is active,#6 Charge disabled by user setting,#7 Discharge disabled by user setting
,s,,V,A,W,,A,,,V,,,,kWh,W,kWh,W,,kWh,V,A,W,,A,,,V,,,,kWh,W,kWh,W,,kWh,V,A,W,,A,,,V,,,,kWh,W,kWh,W,,kWh,V,A,W,,A,,,V,,,,kWh,W,kWh,W,,kWh,W,W,V,,,,,,,,,
2022-01-25 17:55:34,1,Not active,26.25,0.0,0,On,0.0,On,Off,13.78,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.24,0.0,0,On,0.0,On,Off,13.95,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.24,0.0,0,On,0.0,On,Off,15.91,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.24,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.24,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 17:56:34,1,Not active,26.24,0.0,0,On,0.0,On,Off,12.99,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.24,0.0,0,On,0.0,On,Off,13.22,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.23,0.0,0,On,0.0,On,Off,15.12,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.23,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.23,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 17:57:34,1,Not active,26.23,0.0,0,On,0.0,On,Off,12.11,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.23,0.0,0,On,0.0,On,Off,12.43,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.23,0.0,0,On,0.0,On,Off,14.20,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.22,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.23,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 17:58:33,2,Not active,26.23,0.0,0,On,0.0,On,Off,11.25,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.23,0.0,0,On,0.0,On,Off,11.60,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.23,0.0,0,On,0.0,On,Off,13.30,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.23,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.22,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 17:59:34,2,Not active,26.21,0.0,0,On,0.0,On,Off,10.41,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.22,0.0,0,On,0.0,On,Off,10.82,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.22,0.0,0,On,0.0,On,Off,12.40,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.21,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.22,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 18:00:34,2,Not active,26.21,0.0,0,On,0.0,On,Off,9.48,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.22,0.0,0,On,0.0,On,Off,9.92,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.22,0.0,0,On,0.0,On,Off,11.42,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.22,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.22,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 18:01:34,2,Not active,26.22,0.0,0,On,0.0,On,Off,8.60,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.22,0.0,0,On,0.0,On,Off,9.10,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.22,0.0,0,On,0.0,On,Off,10.48,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.22,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.22,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 18:02:34,2,Not active,26.21,0.0,0,On,0.0,On,Off,7.81,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.21,0.0,0,On,0.0,On,Off,8.36,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.21,0.0,0,On,0.0,On,Off,9.61,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.21,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.20,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 18:03:34,2,Not active,26.20,0.0,0,On,0.0,On,Off,7.06,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.19,0.0,0,On,0.0,On,Off,7.60,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.20,0.0,0,On,0.0,On,Off,8.73,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.20,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.20,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 18:04:34,0,Not active,26.20,0.0,0,On,0.0,On,Off,6.24,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.20,0.0,0,On,0.0,On,Off,6.85,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.20,0.0,0,On,0.0,On,Off,7.82,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.20,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.20,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 18:05:34,0,Not active,26.19,0.0,0,On,0.0,On,Off,5.51,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.20,0.0,0,On,0.0,On,Off,6.12,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.19,0.0,0,On,0.0,On,Off,6.97,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.20,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.19,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 18:06:34,1,Not active,26.18,0.0,0,On,0.0,On,Off,4.77,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.19,0.0,0,On,0.0,On,Off,5.38,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.19,0.0,0,On,0.0,On,Off,6.14,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.19,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.19,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 18:07:34,1,Not active,26.19,0.0,0,On,0.0,On,Off,4.17,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.19,0.0,0,On,0.0,On,Off,4.76,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.20,0.0,0,On,0.0,On,Off,5.37,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.18,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.20,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 18:08:34,1,Not active,26.18,0.0,0,On,0.0,On,Off,3.63,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.18,0.0,0,On,0.0,On,Off,4.20,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.18,0.0,0,On,0.0,On,Off,4.72,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.18,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.18,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off
2022-01-25 18:09:34,1,Not active,26.18,0.0,0,On,0.0,On,Off,3.18,0.0,0,Off,0.01,10,0.02,11,No error,2.48,26.19,0.0,0,On,0.0,On,Off,3.71,0.0,0,Off,0.02,13,0.03,16,No error,5.99,26.18,0.0,0,On,0.0,On,Off,4.14,0.0,0,Off,0.02,10,0.03,16,No error,4.20,26.18,0.0,0,On,0.0,On,Off,0.01,0.0,0,Off,0.00,74,0.00,1,No error,0.00,0,0,26.18,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off

